Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Obs (Grain size, sieving/pipette, ...)"
1,1A,P1/cabecoBMB,Berm,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1454,-7.567,8,3.12,96.88,0,0.44,0.612,-0.19,,,,Before beach nourishment
2,2A,P1/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1449,-7.567,4,3.54,96.46,0,1.055,0.993,-0.914,,1.75,,Before beach nourishment
3,3A,P1/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1445,-7.567,3,3.44,96.56,0,0.572,0.773,-0.279,,0.75,,Before beach nourishment
4,4A,P2/GO.Galgamento,Nourishment,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1465,-7.562,1,0,100,0,1.43,0.214,-0.077,,,,Before beach nourishment
5,5A,P2/D.Duna,Dune,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1464,-7.562,8,0,100,0,1.634,0.173,-0.362,,1.25,,Before beach nourishment
6,6A,P2/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1462,-7.562,4,0.36,99.64,0,0.78,0.675,0.121,,0.25,,Before beach nourishment
7,7A,P2/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1459,-7.562,3,4.5,95.5,0,0.887,1.119,-0.481,,1.75,0.25,Before beach nourishment
8,8A,P3/D.Duna,Dune,11/14/1996,Coastal Monitoring,Hand-Collecting,37.148,-7.557,7,0,100,0,1.796,0.181,-0.311,,1.75,,Before beach nourishment
9,9A,P3/MA.Berma,Berm,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1479,-7.557,5,0.92,99.08,0,1.257,0.626,-0.876,,1.75,,Before beach nourishment
10,10A,P3/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1477,-7.557,3,0.27,99.73,0,1.152,0.538,-0.331,,1.75,,Before beach nourishment
11,11A,P3/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1475,-7.557,2,3.34,96.66,0,1.044,1.026,-0.767,,1.75,,Before beach nourishment
12,12A,P4/GO.Galgamento,Nourishment,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1498,-7.553,7,3.05,96.95,0,0.892,0.83,-0.808,,1.25,,Before beach nourishment
13,13A,P4/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1494,-7.553,4,0.09,99.91,0,1.402,0.222,-0.465,,1.25,,Before beach nourishment
14,14A,P4/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1487,-7.553,2,1.6,98.4,0,0.985,0.721,-0.739,,1.25,,Before beach nourishment
15,15A,P5/GO.Galgamento,Nourishment,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1519,-7.547,6,0,100,0,1.697,0.232,-0.929,,,,Before beach nourishment
16,16A,P5/MM.Face_Praia,Beach face,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1514,-7.547,3,1.3,98.7,0,1.062,0.609,-0.87,,,,Before beach nourishment
17,17A,P5/MB.Terraco,Low tide terrace,11/14/1996,Coastal Monitoring,Hand-Collecting,37.1509,-7.547,2,0.09,99.91,0,1.818,0.269,-1.404,,,,Before beach nourishment
18,18A,P1/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1454,-7.567,8,0,100,0,1.535,0.375,-0.456,,1.75,,After beach nourishment
19,19A,P1/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1452,-7.567,4,2.11,97.89,0,1.512,0.539,-2.74,,1.75,,After beach nourishment
20,20A,P1/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1449,-7.567,3,2.93,97.07,0,0.531,0.619,-0.358,,0.75,,After beach nourishment
21,21A,P1/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1445,-7.567,1,1.09,98.91,0,0.802,0.573,-0.13,,0.75,,After beach nourishment
22,22A,P2/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1465,-7.562,8,6.24,93.76,0,0.829,1.128,-0.978,,1.25,,After beach nourishment
23,23A,P2/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1464,-7.562,4,0,100,0,1.498,0.242,-0.392,,1.75,,After beach nourishment
24,24A,P2/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1462,-7.562,3,0,100,0,1.611,0.339,-0.906,,1.75,,After beach nourishment
25,25A,P2/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1459,-7.562,1,0.53,99.47,0,1.527,0.568,-1.134,,1.75,,After beach nourishment
26,26A,P3/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.148,-7.557,7,0.86,99.14,0,1.493,0.437,-1.663,,1.75,,After beach nourishment
27,27A,P3/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1479,-7.557,5,0,100,0,1.474,0.245,-0.633,,1.75,,After beach nourishment
28,28A,P3/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1477,-7.557,3,1.42,98.58,0,1.306,0.72,-1.081,,1.75,,After beach nourishment
29,29A,P3/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1475,-7.557,2,7.4,92.6,0,0.584,1.346,-0.162,,-0.25,,After beach nourishment
30,30A,P4/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1498,-7.553,7,0,100,0,1.152,0.311,0.137,,0.75,,After beach nourishment
31,31A,P4/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1497,-7.553,5,3.07,96.93,0,1.487,0.85,-2.13,,1.75,,After beach nourishment
32,32A,P4/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1494,-7.553,4,4,96,0,0.915,1.041,-0.696,,1.25,,After beach nourishment
33,33A,P4/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1487,-7.553,2,1.03,98.97,0,0.938,0.748,-0.226,,1.75,,After beach nourishment
34,34A,P5/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1519,-7.547,6,0.09,99.91,0,1.48,0.292,-0.736,,1.75,,After beach nourishment
35,35A,P5/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1517,-7.547,5,0.19,99.81,0,1.275,0.485,-0.431,,1.75,,After beach nourishment
36,36A,P5/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1514,-7.547,3,8.2,91.8,0,0.337,1.215,-0.086,,0.25,1.75,After beach nourishment
37,37A,P5/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1509,-7.547,2,1.7,98.3,0,1.629,0.961,-1.161,,0.25,,After beach nourishment
38,38A,P6/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1534,-7.542,5,0.09,99.91,0,1.323,0.359,-0.494,,1.75,,After beach nourishment
39,39A,P6/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1533,-7.542,4,0,100,0,1.713,0.208,-0.404,,1.75,-0.25,After beach nourishment
40,40A,P6/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.153,-7.542,2,5.09,94.91,0,0.619,1.055,-0.292,,0.75,1.75,After beach nourishment
41,41A,P6/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1527,-7.542,2,1.48,98.52,0,0.542,0.605,0.359,,1.75,,After beach nourishment
42,42A,P7/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1549,-7.538,7,0,100,0,1.568,0.205,-0.389,,1.75,,After beach nourishment
43,43A,P7/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1548,-7.538,5,1.24,98.76,0,1.011,0.927,-0.506,,1.75,-0.75,After beach nourishment
44,44A,P7/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1547,-7.538,4,0.61,99.39,0,1.046,0.634,-0.13,,1.75,0.25,After beach nourishment
45,45A,P7/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1543,-7.538,2,4.18,95.82,0,1.428,1.149,-1.406,,1.75,,After beach nourishment
46,46A,P8/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1571,-7.533,5,0,100,0,1.59,0.28,-0.329,,1.75,,After beach nourishment
47,47A,P8/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.157,-7.533,5,7.9,92.1,0,1.244,1.432,-1.283,,1.75,,After beach nourishment
48,48A,P8/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1567,-7.533,3,9.45,90.55,0,0.646,1.454,-0.634,,1.75,,After beach nourishment
49,49A,P8/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1564,-7.533,2,1.21,98.79,0,1.44,0.702,-1.38,,0.25,,After beach nourishment
50,50A,P9/D.Duna,Dune,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1571,-7.533,6,0,100,0,1.715,0.15,0.133,,,,After beach nourishment
51,51A,P9/MA.Berma,Berm,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1569,-7.533,5,0,100,0,1.638,0.161,-0.203,,,,After beach nourishment
52,52A,P9/MM.Face_Praia,Beach face,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1567,-7.533,2,2.32,97.68,0,1.26,0.78,-1.403,,,,After beach nourishment
53,53A,P9/MB.Terraco,Low tide terrace,2/24/1997,Coastal Monitoring,Hand-Collecting,37.1564,-7.533,1,4.21,95.79,0,0.56,0.847,-0.269,,,,After beach nourishment
54,54A,P1/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1454,-7.567,8,10.52,89.48,0,0.707,1.665,-0.761,,1.75,,After beach nourishment
55,55A,P1/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1452,-7.567,4,0.09,99.91,0,1.721,0.197,-0.896,,1.75,,After beach nourishment
56,56A,P1/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1449,-7.567,3,0,100,0,1.468,0.216,0.11,,1.25,,After beach nourishment
57,57A,P1/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1445,-7.567,1,1.04,98.96,0,1.016,0.787,-0.21,,0.75,1.75,After beach nourishment
58,58A,P2/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1465,-7.562,8,6.16,93.84,0,0.833,1.16,-0.798,,1.75,,After beach nourishment
59,59A,P2/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1464,-7.562,4,0,100,0,1.817,0.12,-0.246,,1.75,,After beach nourishment
60,60A,P2/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1462,-7.562,3,0,100,0,1.733,0.141,0.107,,1.75,,After beach nourishment
61,61A,P2/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1459,-7.562,1,0.09,99.91,0,1.761,0.4,-1.284,,1.75,,After beach nourishment
62,62A,P3/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.148,-7.557,7,5.96,94.04,0,0.686,1.103,-0.53,,0.25,,After beach nourishment
63,63A,P3/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1479,-7.557,5,0,100,0,1.567,0.244,-0.616,,1.75,,After beach nourishment
64,64A,P3/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1477,-7.557,3,1.34,98.66,0,1.212,0.701,-1.061,,1.75,-0.25,After beach nourishment
65,65A,P3/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1475,-7.557,2,0,100,0,1.821,0.24,-1.193,,1.75,,After beach nourishment
66,66A,P4/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1498,-7.553,7,2.55,97.45,0,1.048,0.91,-0.691,,1.75,,After beach nourishment
67,67A,P4/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1497,-7.553,5,0,100,0,1.606,0.225,-0.565,,1.75,,After beach nourishment
68,68A,P4/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1494,-7.553,4,0,100,0,1.773,0.124,-0.065,,1.75,,After beach nourishment
69,69A,P4/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1487,-7.553,2,0.64,99.36,0,1.844,0.252,-3.23,,1.75,,After beach nourishment
70,70A,P5/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1519,-7.547,6,9.16,90.84,0,0.564,1.239,-0.703,,1.25,-2.25,After beach nourishment
71,71A,P5/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1517,-7.547,5,0,100,0,1.829,0.145,-0.198,,1.75,,After beach nourishment
72,72A,P5/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1514,-7.547,3,0,100,0,1.353,0.242,0.134,,1.25,,After beach nourishment
73,73A,P5/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1509,-7.547,2,0,100,0,1.849,0.178,-0.05,,1.75,,After beach nourishment
74,74A,P6/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1534,-7.542,5,0,100,0,1.619,0.195,-0.093,,1.75,,After beach nourishment
75,75A,P6/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1533,-7.542,4,0.18,99.82,0,1.38,0.406,-0.617,,1.75,,After beach nourishment
76,76A,P6/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.153,-7.542,2,0.09,99.91,0,1.656,0.307,-0.836,,1.75,0.25,After beach nourishment
77,77A,P6/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1527,-7.542,2,0,100,0,1.825,0.155,0.112,,1.75,,After beach nourishment
78,78A,P7/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1549,-7.538,7,0,100,0,1.744,0.173,-0.367,,1.75,,After beach nourishment
79,79A,P7/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1548,-7.538,5,1.85,98.15,0,1.385,0.608,-1.911,,1.75,-0.25,After beach nourishment
80,80A,P7/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1547,-7.538,4,0,100,0,1.626,0.267,-1.257,,1.75,,After beach nourishment
81,81A,P7/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1543,-7.538,2,0,100,0,1.702,0.19,0.121,,1.75,,After beach nourishment
82,82A,P8/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1571,-7.533,5,0,100,0,1.527,0.246,-0.421,,1.75,,After beach nourishment
83,83A,P8/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.157,-7.533,5,0,100,0,1.451,0.181,-0.054,,1.75,,After beach nourishment
84,84A,P8/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1567,-7.533,3,0.09,99.91,0,1.662,0.328,-0.753,,1.75,,After beach nourishment
85,85A,P8/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1564,-7.533,2,0,100,0,1.843,0.142,0.122,,,,After beach nourishment
86,86A,P9/D.Duna,Dune,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1571,-7.533,6,0,100,0,1.713,0.186,-0.232,,,,After beach nourishment
87,87A,P9/MA.Berma,Berm,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1569,-7.533,5,0,100,0,1.171,0.2,0.009,,,,After beach nourishment
88,88A,P9/MM.Face_Praia,Beach face,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1567,-7.533,2,0,100,0,1.747,0.173,-0.396,,,,After beach nourishment
89,89A,P9/MB.Terraco,Low tide terrace,3/27/1997,Coastal Monitoring,Hand-Collecting,37.1564,-7.533,1,0,100,0,1.999,0.175,-0.065,,,,After beach nourishment
90,90A,P1/MA.Berma,Berm,4/23/1997,Coastal Monitoring,Hand-Collecting,37.145,-7.567,4,0.7,99.3,0,0.625,0.558,0.067,,,,After beach nourishment
91,91A,P1/MM.Face_Praia,Beach face,4/23/1997,Coastal Monitoring,Hand-Collecting,37.145,-7.567,3,0.18,99.82,0,1.062,0.301,-0.034,,,,After beach nourishment
92,92A,P1/MB.Terraco,Low tide terrace,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1444,-7.567,1,0.09,99.91,0,1.727,0.216,-1.066,,,,After beach nourishment
93,93A,P2/MA.Berma,Berm,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1463,-7.562,4,0.36,99.64,0,0.959,0.463,0.059,,,,After beach nourishment
94,94A,P2/MM.Face_Praia,Beach face,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1462,-7.562,3,0.09,99.91,0,1.425,0.373,-0.33,,,,After beach nourishment
95,95A,P2/MB.Terraco,Low tide terrace,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1458,-7.562,1,0.27,99.73,0,1.538,0.31,-0.813,,,,After beach nourishment
96,96A,P3/MA.Berma,Berm,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1478,-7.557,4,0,100,0,1.428,0.215,0.244,,,,After beach nourishment
97,97A,P3/MM.Face_Praia,Beach face,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1475,-7.557,2,1.07,98.93,0,1.42,0.589,-1.439,,,,After beach nourishment
98,98A,P3/MB.Terraco,Low tide terrace,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1472,-7.557,1,0.09,99.91,0,1.471,0.289,0.124,,,,After beach nourishment
99,99A,P4/MA.Berma,Berm,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1497,-7.553,5,0,100,0,1.783,0.168,-0.269,,,,After beach nourishment
100,100A,P4/MM.Face_Praia,Beach face,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1493,-7.553,3,0,100,0,1.697,0.187,-0.455,,,,After beach nourishment
101,101A,P4/MB.Terraco,Low tide terrace,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1486,-7.553,1,0.64,99.36,0,1.716,0.447,-1.8,,,,After beach nourishment
102,102A,P5/MA.Berma,Berm,4/23/1997,Coastal Monitoring,Hand-Collecting,37.1516,-7.547,4,0.09,99.91,0,0.776,0.471,0.418,,,,After beach nourishment
