Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
120,1250A,GA-P10-A4,2/21/2011,EROS,Hand-Collecting,37.0797,-8.315,2.56,0.2,99.8,0,0.953,0.568,-0.092,1.057,1.247,,
121,1251A,GA-P10-A5,2/21/2011,EROS,Hand-Collecting,37.0798,-8.315,2.74,0,100,0,1.202,0.426,0.014,1.068,1.247,,
122,1252A,GA-P10-A6,2/21/2011,EROS,Hand-Collecting,37.0798,-8.315,3.24,0,100,0,1.299,0.436,0,1.105,1.247,,
123,1253A,GA-P10-A7,2/21/2011,EROS,Hand-Collecting,37.0799,-8.315,4.1,0,100,0,1.189,0.439,0.003,1.016,1.247,,
124,1254A,GA-P10-A8,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,4.98,0,100,0,1.546,0.459,-0.03,1.006,1.747,,
125,1255A,GA-P10-A9,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,5.6,0,100,0,1.076,0.417,-0.08,1.001,1.247,,
126,1256A,GA-P10-A10,2/21/2011,EROS,Hand-Collecting,37.08,-8.315,6.58,0.1,99.9,0,2.594,0.397,-0.032,0.966,2.737,,
127,1257A,GA-P4-A1,3/22/2011,EROS,Hand-Collecting,37.0788,-8.314,0.71,16.6,83.4,0,-0.139,0.863,-0.341,1.167,0.25,-2.243,
128,1258A,GA-P4-A2,3/22/2011,EROS,Hand-Collecting,37.0788,-8.314,0.98,47.6,52.4,0,-1.005,0.985,-0.056,0.688,-2.24,-0.743,
129,1259A,GA-P4-A3,3/22/2011,EROS,Hand-Collecting,37.0789,-8.314,1.38,30.4,69.6,0,-0.537,0.909,-0.21,0.847,0.25,,
130,1260A,GA-P4-A4,3/22/2011,EROS,Hand-Collecting,37.0789,-8.314,1.97,0.4,99.6,0,0.362,0.352,0.087,1.13,0.25,,
131,1261A,GA-P4-A5,3/22/2011,EROS,Hand-Collecting,37.079,-8.313,3.11,1.2,98.8,0,0.291,0.438,-0.002,1.131,0.25,,
132,1262A,GA-P4-A6,3/22/2011,EROS,Hand-Collecting,37.0791,-8.313,4.54,0,100,0,0.534,0.345,-0.038,0.794,0.75,,
133,1263A,GA-P4-A7,3/22/2011,EROS,Hand-Collecting,37.0791,-8.313,6.41,0.2,99.8,0,0.593,0.434,-0.098,1.08,0.75,,
134,1264A,GA-P10-A1,3/22/2011,EROS,Hand-Collecting,37.0797,-8.315,2.31,3.9,96.1,0,1.048,0.714,-0.253,1.378,1.25,,
135,1265A,GA-P10-A2,3/22/2011,EROS,Hand-Collecting,37.0798,-8.315,3.28,0.1,99.9,0,0.958,0.481,0.029,1.046,0.75,,
136,1266A,GA-P10-A3,3/22/2011,EROS,Hand-Collecting,37.0799,-8.315,5.06,0.1,99.9,0,1.043,0.519,0.03,1.024,0.75,,
137,1267A,GA-P10-A4,3/22/2011,EROS,Hand-Collecting,37.0799,-8.315,4.97,0.6,99.4,0,0.572,0.563,0.02,1.025,0.75,,
138,1268A,GA-P10-A5,3/22/2011,EROS,Hand-Collecting,37.08,-8.315,5.22,0.1,99.9,0,1.128,0.425,-0.013,0.968,1.25,,
139,1269A,GA-P4-A1,4/18/2011,EROS,Hand-Collecting,37.0789,-8.314,1.06,63.1,36.9,0,-1.325,0.637,-0.205,0.761,-0.74,-2.243,
140,1270A,GA-P4-A2,4/18/2011,EROS,Hand-Collecting,37.0789,-8.314,1.94,3.8,96.2,0,-0.004,0.464,-0.089,1.097,0.247,,
141,1271A,GA-P4-A3,4/18/2011,EROS,Hand-Collecting,37.079,-8.313,3.19,2.6,97.4,0,0.163,0.522,-0.109,1.122,0.247,,
142,1272A,GA-P4-A4,4/18/2011,EROS,Hand-Collecting,37.0791,-8.313,4.63,1.7,98.3,0,0.208,0.504,-0.003,0.879,0.247,,
143,1273A,GA-P4-A5,4/18/2011,EROS,Hand-Collecting,37.0791,-8.313,6.53,0.3,99.7,0,0.477,0.475,0.172,1.149,0.247,,
144,1274A,GA-P10-A1,4/18/2011,EROS,Hand-Collecting,37.0797,-8.315,2.39,0.5,99.5,0,1.005,0.529,-0.07,1.061,1.247,,
145,1275A,GA-P10-A2,4/18/2011,EROS,Hand-Collecting,37.0798,-8.315,3.41,0,100,0,1.418,0.404,0.01,0.994,1.247,,
146,1276A,GA-P10-A3,4/18/2011,EROS,Hand-Collecting,37.0799,-8.315,5.28,0,100,0,1.305,0.425,-0.002,1.142,1.247,,
147,1277A,GA-P10-A4,4/18/2011,EROS,Hand-Collecting,37.08,-8.315,5.16,0.6,99.4,0,0.934,0.815,-0.161,0.866,1.247,0.247,
148,1278A,GA-P4-A1,5/19/2011,EROS,Hand-Collecting,37.0789,-8.314,1.17,97.1,2.9,0,-1.949,0.421,0.335,0.896,-2.243,,
149,1279A,GA-P4-A2,5/19/2011,EROS,Hand-Collecting,37.0789,-8.314,1.63,6.7,93.3,0,0.233,0.62,-0.253,1.652,0.247,,
150,1280A,GA-P4-A3,5/19/2011,EROS,Hand-Collecting,37.079,-8.313,2.83,0.2,99.8,0,0.531,0.414,-0.131,0.995,0.747,,
151,1281A,GA-P4-A4,5/19/2011,EROS,Hand-Collecting,37.0791,-8.313,4.2,0,100,0,0.597,0.349,-0.124,0.973,0.747,,
152,1282A,GA-P4-A5,5/19/2011,EROS,Hand-Collecting,37.0791,-8.313,5.6,0.1,99.9,0,0.576,0.354,-0.157,0.906,0.747,,
153,1283A,GA-P10-A1,5/19/2011,EROS,Hand-Collecting,37.0797,-8.315,2.09,2,98,0,0.855,0.786,-0.166,0.991,1.247,,
154,1284A,GA-P10-A2,5/19/2011,EROS,Hand-Collecting,37.0797,-8.315,2.77,2.8,97.2,0,0.691,0.719,-0.198,1.111,0.747,,
155,1285A,GA-P10-A3,5/19/2011,EROS,Hand-Collecting,37.0799,-8.315,5.1,0.9,99.1,0,0.329,0.564,0.108,1.011,0.247,,
156,1286A,GA-P10-A4,5/19/2011,EROS,Hand-Collecting,37.0799,-8.315,5.29,0.1,99.9,0,0.79,0.533,0.074,0.952,0.747,,
157,1287A,GA-P10-A5,5/19/2011,EROS,Hand-Collecting,37.08,-8.315,5.3,0.1,99.9,0,0.996,0.517,0.01,0.997,0.747,,
158,1288A,GA-P4-A1,6/16/2011,EROS,Hand-Collecting,37.0788,-8.314,1,25.8,74.2,0,-0.463,0.876,-0.306,0.931,0.247,,
159,1289A,GA-P4-A2,6/16/2011,EROS,Hand-Collecting,37.0789,-8.314,1.93,23.6,76.4,0,-0.308,1.02,-0.291,0.947,0.247,-2.243,
160,1290A,GA-P4-A3,6/16/2011,EROS,Hand-Collecting,37.079,-8.314,2.89,21.9,78.1,0,-0.419,0.892,-0.236,1.122,-0.243,-2.243,
161,1291A,GA-P4-A4,6/16/2011,EROS,Hand-Collecting,37.079,-8.313,4.07,0,100,0,1.04,0.412,0.14,0.918,0.747,,
162,1292A,GA-P4-A5,6/16/2011,EROS,Hand-Collecting,37.0791,-8.313,5.61,0.01,99.9,0,0.64,0.372,-0.124,1.239,0.747,,
163,1293A,GA-P10-A1,6/16/2011,EROS,Hand-Collecting,37.0798,-8.315,2.58,15.9,84.1,0,-0.083,0.959,-0.052,1.059,-0.243,,
164,1294A,GA-P10-A2,6/16/2011,EROS,Hand-Collecting,37.0798,-8.315,3.37,0.5,99.5,0,1.108,0.585,-0.167,1.167,1.247,,
165,1295A,GA-P10-A3,6/16/2011,EROS,Hand-Collecting,37.0798,-8.315,4.76,0.5,99.5,0,0.705,0.584,-0.064,0.996,0.747,,
166,1296A,GA-P10-A4,6/16/2011,EROS,Hand-Collecting,37.0799,-8.315,5.09,0.2,99.8,0,0.627,0.479,-0.035,1.014,0.747,,
167,1297A,GA-P10-A5,6/16/2011,EROS,Hand-Collecting,37.08,-8.315,5.31,0,100,0,0.972,0.495,0.039,1.026,0.747,,
168,1298A,GA-P2-A1,9/14/2011,EROS,Hand-Collecting,37.0787,-8.313,0.96,4,96,0,1.337,1.13,-0.459,0.929,2.237,-0.243,
169,1299A,GA-P2-A2,9/14/2011,EROS,Hand-Collecting,37.0787,-8.313,1.42,49.6,50.4,0,-0.601,1.544,0.366,0.837,-2.243,-1.243,0.247
170,1300A,GA-P2-A3,9/14/2011,EROS,Hand-Collecting,37.0788,-8.313,2.38,0.6,99.4,0,0.282,0.595,0.19,1.274,0.247,,
171,1301A,GA-P2-A4,9/14/2011,EROS,Hand-Collecting,37.0788,-8.313,3.8,0.4,99.6,0,0.427,0.45,0.088,1.082,0.247,,
172,1302A,GA-P2-A5,9/14/2011,EROS,Hand-Collecting,37.0789,-8.313,5.69,0.3,99.7,0,0.5,0.481,0.141,1.119,0.247,,
173,1303A,GA-P4-A1,9/14/2011,EROS,Hand-Collecting,37.0788,-8.314,1.07,0.1,99.9,0,1.518,0.702,-0.133,0.996,1.747,,
174,1304A,GA-P4-A2,9/14/2011,EROS,Hand-Collecting,37.0789,-8.314,1.79,14.6,85.4,0,0.454,1.366,0.015,0.876,0.247,2.237,-2.243
175,1305A,GA-P4-A3,9/14/2011,EROS,Hand-Collecting,37.079,-8.314,3.07,1.9,98.1,0,0.63,0.821,0.063,1.005,0.247,,
176,1306A,GA-P4-A4,9/14/2011,EROS,Hand-Collecting,37.079,-8.313,4.52,1,99,0,0.434,0.491,0.079,1.111,0.247,,
177,1307A,GA-P4-A5,9/14/2011,EROS,Hand-Collecting,37.0791,-8.313,6.15,0.3,99.7,0,0.515,0.486,0.168,1.056,0.247,,
178,1308A,GA-P6-A1,9/14/2011,EROS,Hand-Collecting,37.0791,-8.314,1.31,7.8,92.2,0,0.2,0.96,0.085,1.006,-0.243,0.747,1.747
179,1309A,GA-P6-A2,9/14/2011,EROS,Hand-Collecting,37.0792,-8.314,2.37,0.2,99.8,0,0.315,0.344,0.084,1.32,0.247,,
180,1310A,GA-P6-A3,9/14/2011,EROS,Hand-Collecting,37.0793,-8.314,3.98,0.8,99.2,0,0.267,0.495,0.017,1.273,0.247,,
181,1311A,GA-P6-A4,9/14/2011,EROS,Hand-Collecting,37.0793,-8.314,5.62,0,100,0,0.641,0.444,0.035,1.213,0.747,,
182,1312A,GA-P2-A1,10/27/2011,EROS,Hand-Collecting,37.0787,-8.313,-0.8,0.2,99.8,0,0.573,0.413,-0.023,0.998,0.747,,
183,1313A,GA-P2-A2,10/27/2011,EROS,Hand-Collecting,37.0787,-8.313,-0.3,9.5,90.5,0,-0.035,0.676,-0.211,1.208,0.247,,
184,1314A,GA-P2-A3,10/27/2011,EROS,Hand-Collecting,37.0788,-8.313,0.78,0.1,99.9,0,0.612,0.416,-0.023,1.025,0.747,,
185,1315A,GA-P2-A4,10/27/2011,EROS,Hand-Collecting,37.0788,-8.313,1.84,0,100,0,0.694,0.372,-0.031,1.318,0.747,,
186,1316A,GA-P2-A5,10/27/2011,EROS,Hand-Collecting,37.0789,-8.313,3.3,0.2,99.8,0,0.716,0.537,0.172,1.3,0.747,,
187,1317A,GA-P4-A1,10/27/2011,EROS,Hand-Collecting,37.0789,-8.314,-0.76,2,98,0,0.387,0.58,-0.067,1.158,0.247,,
188,1318A,GA-P4-A2,10/27/2011,EROS,Hand-Collecting,37.0789,-8.314,-0.21,5.3,94.7,0,0.315,0.618,-0.168,1.337,0.247,,
189,1319A,GA-P4-A3,10/27/2011,EROS,Hand-Collecting,37.0789,-8.314,0.6,0.1,99.9,0,0.479,0.418,0.195,1.001,0.247,,
190,1320A,GA-P4-A4,10/27/2011,EROS,Hand-Collecting,37.079,-8.313,1.74,0,100,0,0.838,0.448,0.054,1.061,0.747,,
191,1321A,GA-P4-A5,10/27/2011,EROS,Hand-Collecting,37.0791,-8.313,3.36,1.8,98.2,0,0.059,0.451,-0.139,1.105,0.247,,
192,1322A,GA-P6-A1,10/27/2011,EROS,Hand-Collecting,37.079,-8.314,-0.99,4.7,95.3,0,-0.069,0.553,0.054,1.074,-0.243,,
193,1323A,GA-P6-A2,10/27/2011,EROS,Hand-Collecting,37.0791,-8.314,-0.51,6.7,93.3,0,0.014,0.598,-0.185,1.142,0.247,,
194,1324A,GA-P6-A3,10/27/2011,EROS,Hand-Collecting,37.0791,-8.314,0.12,1.8,98.2,0,0.426,0.439,-0.063,0.98,0.247,,
195,1325A,GA-P6-A4,10/27/2011,EROS,Hand-Collecting,37.0792,-8.314,1.14,0,100,0,0.628,0.392,-0.058,1.104,0.747,,
196,1326A,GA-P6-A5,10/27/2011,EROS,Hand-Collecting,37.0793,-8.314,2.45,0.1,99.9,0,0.597,0.412,-0.084,1.031,0.747,,
197,1327A,GA-P10-A1,10/27/2011,EROS,Hand-Collecting,37.0796,-8.315,9,0.6,99.4,0,0.75,0.548,-0.004,1.018,0.747,,
198,1328A,GA-P10-A2,10/27/2011,EROS,Hand-Collecting,37.0796,-8.315,0.33,0,100,0,0.854,0.467,0.046,1.023,0.747,,
199,1329A,GA-P10-A3,10/27/2011,EROS,Hand-Collecting,37.0797,-8.315,0.75,0,100,0,1.086,0.403,0.004,0.942,1.247,,
200,1330A,GA-P10-A4,10/27/2011,EROS,Hand-Collecting,37.0798,-8.315,1.25,0,100,0,1.234,0.458,-0.017,1.096,1.247,,
201,1331A,GA-P10-A5,10/27/2011,EROS,Hand-Collecting,37.0799,-8.315,2.62,0,100,0,1.256,0.431,-0.003,1.194,1.247,,
202,1332A,GA-P2-A1,11/26/2011,EROS,Hand-Collecting,37.0786,-8.314,0.54,0,100,0,1.039,0.424,0.113,0.923,0.747,,
203,1333A,GA-P2-A2,11/26/2011,EROS,Hand-Collecting,37.0787,-8.313,0.58,44.7,55.3,0,-0.708,1.095,0.164,0.897,-1.243,0.747,
204,1334A,GA-P2-A3,11/26/2011,EROS,Hand-Collecting,37.0787,-8.313,1.39,5.9,94.1,0,0.068,0.559,-0.191,1.297,0.247,,
205,1335A,GA-P2-A4,11/26/2011,EROS,Hand-Collecting,37.0787,-8.313,2.11,0,100,0,0.736,0.272,-0.029,1.354,0.747,,
206,1336A,GA-P2-A5,11/26/2011,EROS,Hand-Collecting,37.0788,-8.313,3.77,0.1,99.9,0,1.021,0.535,0.161,1,0.747,,
207,1337A,GA-P2-A6,11/26/2011,EROS,Hand-Collecting,37.0789,-8.313,6.04,0.3,99.7,0,0.719,0.489,0.088,1.227,0.747,,
208,1338A,GA-P4-A1,11/26/2011,EROS,Hand-Collecting,37.0789,-8.314,0.54,3.8,96.2,0,0.538,0.6,-0.045,1.312,0.747,,
209,1339A,GA-P4-A2,11/26/2011,EROS,Hand-Collecting,37.0789,-8.314,0.87,30,70,0,-0.48,1.006,0.136,0.85,-0.743,0.747,
210,1340A,GA-P4-A3,11/26/2011,EROS,Hand-Collecting,37.0789,-8.314,1.31,1.7,98.3,0,0.06,0.447,0.004,1.035,0.247,,
211,1341A,GA-P4-A4,11/26/2011,EROS,Hand-Collecting,37.079,-8.314,2.61,0.3,99.7,0,0.632,0.416,-0.059,1.112,0.747,,
212,1342A,GA-P4-A5,11/26/2011,EROS,Hand-Collecting,37.0791,-8.313,4.74,0,100,0,0.933,0.456,0.157,1.093,0.747,,
213,1343A,GA-P4-A6,11/26/2011,EROS,Hand-Collecting,37.0791,-8.313,6.32,0,100,0,0.599,0.409,0.021,0.974,0.747,,
214,1344A,GA-P6-A1,11/26/2011,EROS,Hand-Collecting,37.0791,-8.314,1.54,1.7,98.3,0,0.234,0.495,-0.085,0.946,0.247,,
215,1345A,GA-P6-A2,11/26/2011,EROS,Hand-Collecting,37.0792,-8.314,2.82,2.7,97.3,0,0.342,0.562,-0.185,1.091,0.747,,
216,1346A,GA-P6-A3,11/26/2011,EROS,Hand-Collecting,37.0792,-8.314,4.1,0,100,0,0.966,0.39,0.27,0.925,0.747,,
217,1347A,GA-P6-A4,11/26/2011,EROS,Hand-Collecting,37.0793,-8.314,5.4,1.2,98.8,0,0.3,0.521,-0.048,0.961,0.247,,
218,1348A,GA-P10-A1,11/26/2011,EROS,Hand-Collecting,37.0797,-8.315,2.3,14.6,85.4,0,-0.498,0.528,-0.145,1.172,-0.243,,
219,1349A,GA-P10-A2,11/26/2011,EROS,Hand-Collecting,37.0797,-8.315,3.06,1.4,98.6,0,0.534,0.61,0.113,1.228,0.247,,
220,1350A,GA-P10-A3,11/26/2011,EROS,Hand-Collecting,37.0799,-8.315,4.94,0.5,99.5,0,0.772,0.48,-0.035,1.169,0.747,,
221,1351A,GA-P10-A4,11/26/2011,EROS,Hand-Collecting,37.0799,-8.315,4.92,2.3,97.7,0,0.008,0.548,0.201,1.002,-0.243,,
222,1352A,GA-P10-A5,11/26/2011,EROS,Hand-Collecting,37.08,-8.315,5.48,0,100,0,1.189,0.485,0.068,0.855,1.247,,
223,1353A,GA-P2-A1,1/12/2012,EROS,Hand-Collecting,37.0787,-8.313,0.95,64,36,0,-1.065,1.166,0.384,0.882,-2.243,-1.243,0.747
224,1354A,GA-P2-A2,1/12/2012,EROS,Hand-Collecting,37.0787,-8.313,1.46,72.7,27.3,0,-1.285,0.526,-0.169,1.205,-1.243,,
225,1355A,GA-P2-A3,1/12/2012,EROS,Hand-Collecting,37.0787,-8.313,1.65,18.8,81.2,0,-0.733,0.404,-0.01,1.412,-0.743,,
226,1356A,GA-P2-A4,1/12/2012,EROS,Hand-Collecting,37.0788,-8.313,2.25,0.1,99.9,0,0.646,0.41,-0.052,1.101,0.747,,
227,1357A,GA-P2-A5,1/12/2012,EROS,Hand-Collecting,37.0788,-8.313,3.26,0.4,99.6,0,0.693,0.455,-0.069,1.181,0.747,,
228,1358A,GA-P2-A6,1/12/2012,EROS,Hand-Collecting,37.0788,-8.313,4.21,0.1,99.9,0,0.99,0.456,0.014,1.043,0.747,,
229,1359A,GA-P2-A7,1/12/2012,EROS,Hand-Collecting,37.0789,-8.313,5.68,0.6,99.4,0,0.851,0.503,0.09,1.146,0.747,,
230,1360A,GA-P4-A1,1/12/2012,EROS,Hand-Collecting,37.0788,-8.314,0.71,95.4,4.6,0,-1.634,0.444,-0.051,0.852,-1.743,,
231,1361A,GA-P4-A2,1/12/2012,EROS,Hand-Collecting,37.0789,-8.314,1.12,27.1,72.9,0,-0.826,0.538,-0.218,1.45,-0.743,,
232,1362A,GA-P4-A3,1/12/2012,EROS,Hand-Collecting,37.0789,-8.314,1.34,16.7,83.3,0,-0.533,0.522,0.01,1.03,-0.743,,
233,1363A,GA-P4-A4,1/12/2012,EROS,Hand-Collecting,37.0789,-8.314,1.6,0.7,99.3,0,-0.062,0.349,0.064,0.885,-0.243,,
234,1364A,GA-P4-A5,1/12/2012,EROS,Hand-Collecting,37.079,-8.314,2.55,0.4,99.6,0,0.611,0.408,-0.181,1.281,0.747,,
235,1365A,GA-P4-A6,1/12/2012,EROS,Hand-Collecting,37.079,-8.313,4.49,0.2,99.8,0,1.02,0.48,0.03,1.05,0.747,,
236,1366A,GA-P4-A7,1/12/2012,EROS,Hand-Collecting,37.0791,-8.313,5.38,0.3,99.7,0,0.57,0.47,-0.14,1.09,0.747,,
237,1367A,GA-P4-A8,1/12/2012,EROS,Hand-Collecting,37.0791,-8.313,6.32,0.5,99.5,0,0.52,0.46,-0.02,1.04,0.747,,
238,1368A,GA-P6-A1,1/12/2012,EROS,Hand-Collecting,37.079,-8.314,0.96,8.2,91.8,0,-0.32,0.51,-0.08,1.1,-0.243,,
239,1369A,GA-P6-A2,1/12/2012,EROS,Hand-Collecting,37.079,-8.314,1.31,6.3,93.7,0,0.06,0.64,-0.12,1.03,0.247,,
240,1370A,GA-P6-A3,1/12/2012,EROS,Hand-Collecting,37.0791,-8.314,2.57,0.1,99.9,0,0.5,0.39,0.19,0.89,0.247,,
241,1371A,GA-P6-A4,1/12/2012,EROS,Hand-Collecting,37.0792,-8.314,3.98,0,100,0,1.1,0.43,0.07,0.94,1.247,,
242,1372A,GA-P6-A5,1/12/2012,EROS,Hand-Collecting,37.0793,-8.314,5.3,0.2,99.8,0,0.75,0.45,0.04,1.23,0.747,,
243,1373A,GA-P10-A1,1/12/2012,EROS,Hand-Collecting,37.0797,-8.315,2.25,8.4,91.6,0,0.28,0.89,-0.07,1.2,0.247,,
244,1374A,GA-P10-A2,1/12/2012,EROS,Hand-Collecting,37.0797,-8.315,2.68,0.5,99.5,0,0.81,0.69,0.01,0.94,0.747,,
245,1375A,GA-P10-A3,1/12/2012,EROS,Hand-Collecting,37.0798,-8.315,3.84,0.4,99.6,0,0.9,0.64,-0.02,1.01,0.747,,
246,1376A,GA-P10-A4,1/12/2012,EROS,Hand-Collecting,37.0799,-8.315,5.11,0,100,0,1.41,0.49,-0.02,1.01,1.247,,
247,1377A,GA-P10-A5,1/12/2012,EROS,Hand-Collecting,37.0799,-8.315,4.97,2.1,97.9,0,0.72,0.76,-0.16,0.98,1.247,,
