,Lat,Lon,Dep,Ele,Grain_Size
0,33.01703333,-117.2826833,0,BF,0.149254934
1,33.01156667,-117.27975,0,BF,0.151969162
2,33.00486667,-117.2785167,0,BF,0.141790547
3,32.9984,-117.2771167,0,BF,0.1468782
4,33.25274,-117.43398,2,MB,0.21646392
5,33.2526,-117.43415,1,BF,0.186938239
6,33.25243,-117.43431,0,BF,0.19398159
7,33.251765,-117.434738,-1,O,0.139606149
8,33.251412,-117.434999,-3,O,0.164840685
9,33.25654,-117.43714,2,MB,0.217611334
10,33.25644,-117.43722,1,BF,0.224182194
11,33.25626,-117.43736,0,BF,0.183572619
12,33.255758,-117.437773,-1,O,0.158296909
13,33.255208,-117.43821,-3,O,0.148294656
14,33.2604,-117.44075,2,MB,0.210500761
15,33.26082,-117.44084,1,BF,0.193219533
16,33.26064,-117.44107,0,BF,0.16910296
17,33.26035,-117.44139,-1,O,0.22206321
18,33.25964,-117.4422,-3,O,0.150692433
19,33.26798,-117.44627,2,MB,0.26851013
20,33.26788,-117.44633,1,BF,0.216905192
21,33.2677,-117.44648,0,BF,0.18608722
22,33.267277,-117.446925,-1,O,0.141890193
23,33.26655,-117.44748,-3,O,0.143192245
24,33.27534,-117.45255,2,MB,0.266135256
25,33.27526,-117.45262,1,BF,0.246492535
26,33.27509,-117.45274,0,BF,0.213207197
27,33.274773,-117.453163,-1,O,0.124730573
28,33.273942,-117.453876,-3,O,0.11284086
29,33.28342,-117.45942,2,MB,0.269872487
30,33.28333,-117.45948,1,BF,0.22025763
31,33.28306,-117.45972,0,BF,0.169527561
32,33.282875,-117.46004,-1,O,0.122941668
33,33.282225,-117.460639,-3,O,0.3726524
34,33.29048,-117.46544,2,MB,0.228992206
35,33.29037,-117.46553,1,BF,0.215713245
36,33.29005,-117.46585,0,BF,0.156944865
37,33.289908,-117.466033,-1,O,0.142143698
38,33.28899441,-117.46676,-3,O,0.183778549
39,33.29759,-117.47178,2,MB,0.239474198
40,33.29748,-117.47189,1,BF,0.202143655
41,33.29723,-117.47213,0,BF,0.13339116
42,33.296944,-117.472335,-1,O,0.118592479
43,33.29612908,-117.473114,-3,O,0.126662027
44,33.30559,-117.47892,2,MB,0.261773963
45,33.3055,-117.479,1,BF,0.231946996
46,33.30519,-117.47926,0,BF,0.142043068
47,33.30511,-117.47964,-1,O,0.118078287
48,33.30407546,-117.48044,-3,O,0.113607579
49,33.314,-117.48665,2,MB,0.271098822
50,33.31384,-117.48678,1,BF,0.21023853
51,33.31358,-117.48701,0,BF,0.152770831
52,33.31347,-117.48722,-1,O,0.118080647
53,33.3124635,-117.488022,-3,O,0.112773728
54,33.32003,-117.49256,2,MB,0.232359511
55,33.31994,-117.49265,1,BF,0.197019222
56,33.31976,-117.49282,0,BF,0.167713212
57,33.31962,-117.49317,-1,O,0.128637683
58,33.31869,-117.494098,-3,O,0.114907742
59,33.32753,-117.50033,2,MB,0.283291624
60,33.32742,-117.50044,1,BF,0.196055645
61,33.32724,-117.50066,0,BF,0.137773251
62,33.32702,-117.50103,-1,O,0.121880695
63,33.326272,-117.501826,-3,O,0.150824621
64,33.33528,-117.508596,2,MB,0.336604519
65,33.33514776,-117.5086739,1,BF,3.737168198
66,33.33505049,-117.5087794,0,BF,0.224676349
67,33.33474608,-117.5091098,-1,O,0.133451906
68,33.3338102,-117.5101253,-3,O,0.207910393
69,33.34152017,-117.516294,2,MB,0.288440561
70,33.34146407,-117.5163548,1,BF,0.638152394
71,33.34138255,-117.5164433,0,BF,7.766179122
72,33.34109737,-117.5167527,-1,O,0.129590928
73,33.34024833,-117.517674,-3,O,0.132843781
74,33.34759875,-117.5242334,2,MB,0.335593415
75,33.34753828,-117.524299,1,BF,1.307691936
76,33.34746161,-117.5243822,0,BF,0.17652881
78,33.3461002,-117.5258593,-3,O,0.119743096
79,33.23055741,-117.4161693,2,MB,0.240272591
80,33.2304886,-117.4162892,1,BF,0.2507845
81,33.23040358,-117.4164373,0,BF,0.249613823
82,33.23006105,-117.4170342,-1,O,0.24163292
83,33.22960991,-117.4178202,-3,O,0.174512926
84,33.23804816,-117.4221489,2,MB,0.246936018
85,33.23791209,-117.422386,1,BF,0.195709327
86,33.2378425,-117.4225073,0,BF,0.20028943
87,33.23765685,-117.4228307,-1,O,0.226055611
88,33.23707601,-117.4238427,-3,O,0.218904785
89,33.24545368,-117.4282775,2,MB,0.198488479
90,33.24537006,-117.4284232,1,BF,0.178144556
91,33.24528019,-117.4285798,0,BF,0.198953168
92,33.24496866,-117.4291226,-1,O,0.195096833
93,33.24414649,-117.430555,-3,O,0.124934275
94,33.331746,-117.505098,0.11,BF,0.349885558
95,33.335045,-117.508785,0.11,BF,0.248972325
96,33.338264,-117.51256,0.11,BF,0.287289814
97,33.341406,-117.516418,0.11,BF,0.185302811
98,33.344513,-117.520314,0.11,BF,0.270096832
99,33.347466,-117.524368,0.11,BF,0.244382402
100,33.350308,-117.528561,0.11,BF,0.273861279
101,33.341604,-117.516203,3,BB,0.322320527
102,33.341464,-117.516355,1,BF,0.386405338
103,33.341097,-117.516753,-1,O,0.176542376
104,33.340801,-117.517075,-2,O,0.111897491
105,33.339638,-117.518336,-4,O,0.176527744
106,33.35328,-117.53271,0.11,BF,0.248826174
107,33.230711,-117.415902,0.11,BF,0.207809166
108,33.23414,-117.419443,0.11,BF,0.212440605
109,33.237868,-117.422463,0.11,BF,0.20885028
110,33.241592,-117.425489,0.11,BF,0.21826318
111,33.245324,-117.428504,0.11,BF,0.197390486
112,33.238028,-117.422184,2,MB,0.249081512
113,33.237956,-117.42231,1,BF,0.206020894
114,33.237569,-117.422984,-1,O,0.285479769
115,33.237201,-117.423625,-3.7,O,0.172067803
116,33.236986,-117.424,-3.2,O,0.176795578
117,33.23671,-117.424482,-4.3,O,0.216454462
118,32.867948,-117.2539,0.11,BF,0.214682608
119,32.872522,-117.25231,0.11,BF,0.220704038
120,32.876607,-117.251336,0.11,BF,0.253424768
121,32.881099,-117.252131,0.11,BF,0.215546752
122,32.885759,-117.253463,0.11,BF,0.211391985
123,32.890354,-117.253763,0.11,BF,0.211487772
124,32.894143,-117.253818,0.11,BF,0.236073643
125,32.898389,-117.254338,0.11,BF,0.202137301
126,32.902847,-117.255166,0.11,BF,0.225834198
127,32.907289,-117.256096,0.11,BF,0.250425023
128,32.91168,-117.257345,0.11,BF,0.270001391
129,32.916017,-117.258941,0.11,BF,0.271674402
130,32.920523,-117.259463,0.11,BF,0.248596082
131,32.926334,-117.259857,0.11,BF,0.252545112
132,32.930828,-117.260457,0.11,BF,0.24615374
133,32.934907,-117.261356,0.11,BF,0.287309402
134,32.939301,-117.262593,0.11,BF,0.218696421
135,32.898504,-117.253608,2.5,BB,0.163510349
136,32.898446,-117.253908,1,BF,0.18794095
137,32.898271,-117.255087,-1,O,0.264410384
138,32.898133,-117.255966,-3.55,O,0.162684862
139,32.898077,-117.256319,-3.05,O,0.159820528
140,32.898006,-117.256768,-4,O,0.146581036
